Classification,Year,Period,Date Mapper,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,7/1/2018,1-Jul,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,66,,159,,,0
HS,2018,201807,7/1/2018,1-Jul,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,1214,,1440,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,22964,,132413,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,381,,2465,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,69000,,96600,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,1216,,1634,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,150633,,776232,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,157177,,827128,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,16917,,119371,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,2430,,2880,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,2400,,14458,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,1088240,,2462510,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,210,,2280,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,8902,,96168,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,9534,,125976,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,750210,"Nickel; unwrought, not alloyed",,,,,,,4000,,89264,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,87177,,401497,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,750210,"Nickel; unwrought, not alloyed",,,,,,,300,,7134,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,1138730,,2717354,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,9239,,96094,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,773,,2569,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,18478,,62050,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,18689,,154606,,,0
HS,2018,201803,3/1/2018,1-Mar,4,0,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,1003,Barley,,,,,,,30000,,8634,,,0
HS,2018,201803,3/1/2018,1-Mar,4,0,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,2601,Iron ores and concentrates; including roasted iron pyrites,,,,,,,19500,,6951,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,91034,,386864,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,1186500,,2485155,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,901,,2989,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,700,,10918,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,136095,,348209,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,6538,,68673,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,105754,,468235,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,9423,,105366,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,750210,"Nickel; unwrought, not alloyed",,,,,,,200,,4818,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,5803,,76811,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,248870,,570070,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,616,Poland,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,166,,9378,,,0
HS,2018,201808,8/1/2018,1-Aug,6,1,2,Exports,208,Denmark,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,1427616,,2007462,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,9915,,121853,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,56,,675,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,44000,,405168,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,7880,,84965,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,21075,,31123,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,490,,8029,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,688,Serbia,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,110,,1278,,,0
